dealer_code,dealer_name,region,city,province,dealer_status
D0001,Markham Toyota Motors,Eastern,Calgary,AB,ACTIVE
D0002,Royal Toyota Motors,Central,Markham,ON,ACTIVE
D0003,Royal Toyota Centre,Quebec,Toronto,ON,ACTIVE
D0004,Markham Toyota Motors,Western,Mississauga,ON,ACTIVE
D0005,Markham Toyota Motors,Central,Mississauga,ON,ACTIVE
D0006,Maple Toyota Motors,Central,Burnaby,BC,ACTIVE
D0007,Royal Lexus Centre,Central,Markham,ON,ACTIVE
D0008,Markham Toyota Centre,Quebec,Mississauga,ON,ACTIVE
D0009,Pacific Lexus Motors,Eastern,Mississauga,ON,ACTIVE
D0010,Markham Toyota Centre,Eastern,Edmonton,AB,ACTIVE
D0011,Royal Toyota Motors,Central,Calgary,AB,ACTIVE
D0012,Summit Lexus Centre,Eastern,London,ON,ACTIVE
D0013,Pacific Lexus Motors,Quebec,Toronto,ON,ACTIVE
D0014,Royal Lexus Motors,Quebec,Mississauga,ON,ACTIVE
D0015,Royal Lexus Centre,Central,Markham,ON,ACTIVE
D0016,Summit Toyota Motors,Quebec,London,ON,INACTIVE
D0017,Maple Toyota Centre,Western,Surrey,BC,ACTIVE
D0018,Summit Toyota Motors,Central,Mississauga,ON,INACTIVE
D0019,Royal Toyota Motors,Eastern,Toronto,ON,ACTIVE
D0020,Royal Toyota Motors,Quebec,Markham,ON,ACTIVE
D0021,Maple Toyota Centre,Eastern,London,ON,INACTIVE
D0022,Summit Toyota Centre,Eastern,Ottawa,ON,INACTIVE
D0023,Maple Lexus Centre,Eastern,Mississauga,ON,ACTIVE
D0024,Maple Lexus Motors,Central,Calgary,AB,ACTIVE
D0025,Markham Toyota Centre,Central,Markham,ON,ACTIVE
D0026,Pacific Toyota Centre,Western,Markham,ON,ACTIVE
D0027,Summit Toyota Centre,Quebec,Toronto,ON,ACTIVE
D0028,Pacific Toyota Centre,Quebec,Laval,QC,ACTIVE
D0029,Markham Toyota Centre,Quebec,Quebec City,QC,ACTIVE
D0030,Pacific Toyota Centre,Quebec,Toronto,ON,ACTIVE
D0031,Summit Toyota Centre,Quebec,London,ON,ACTIVE
D0032,Royal Toyota Centre,Eastern,Calgary,AB,ACTIVE
D0033,Pacific Lexus Centre,Eastern,Laval,QC,ACTIVE
D0034,Maple Lexus Motors,Quebec,Quebec City,QC,INACTIVE
D0035,Summit Toyota Centre,Western,Vancouver,BC,INACTIVE
D0036,Royal Toyota Motors,Central,Vancouver,BC,ACTIVE
D0037,Royal Toyota Centre,Central,Vancouver,BC,ACTIVE
D0038,Pacific Lexus Centre,Eastern,London,ON,ACTIVE
D0039,Markham Lexus Motors,Western,Vancouver,BC,ACTIVE
D0040,Pacific Lexus Motors,Eastern,Mississauga,ON,ACTIVE
D0041,Markham Lexus Centre,Central,London,ON,ACTIVE
D0042,Pacific Lexus Centre,Eastern,Mississauga,ON,ACTIVE
D0043,Royal Lexus Centre,Western,Quebec City,QC,ACTIVE
D0044,Maple Toyota Centre,Eastern,Mississauga,ON,ACTIVE
D0045,Maple Toyota Motors,Quebec,Mississauga,ON,ACTIVE
D0046,Markham Lexus Motors,Central,Markham,ON,ACTIVE
D0047,Maple Toyota Motors,Quebec,London,ON,ACTIVE
D0048,Pacific Toyota Motors,Eastern,Ottawa,ON,ACTIVE
D0049,Maple Toyota Motors,Eastern,Toronto,ON,ACTIVE
D0050,Royal Lexus Centre,Eastern,Toronto,ON,INACTIVE
D0051,Summit Toyota Centre,Western,Ottawa,ON,ACTIVE
D0052,Pacific Lexus Centre,Central,Edmonton,AB,ACTIVE
D0053,Pacific Toyota Motors,Western,Laval,QC,ACTIVE
D0054,Pacific Toyota Centre,Quebec,Mississauga,ON,ACTIVE
D0055,Maple Lexus Motors,Western,Markham,ON,ACTIVE
D0056,Pacific Lexus Centre,Central,London,ON,ACTIVE
D0057,Maple Lexus Centre,Quebec,Calgary,AB,ACTIVE
D0058,Summit Toyota Centre,Western,Edmonton,AB,ACTIVE
D0059,Maple Lexus Centre,Western,Edmonton,AB,ACTIVE
D0060,Summit Lexus Centre,Eastern,Ottawa,ON,ACTIVE
