vin,make,model,model_year,trim,msrp
2TW2AWVP4X6550001,Lexus,NX,2026,LE,57500
2TFV9YFSWRNKB0002,Lexus,NX,2021,LE,55138
2T3N182SKAG4R0003,Toyota,Highlander,2022,Platinum,54444
2TSH6J6X5945L0004,Toyota,Tacoma,2026,Limited,53495
2TU8SU5EVSUYX0005,Lexus,NX,2025,Base,33068
2T1KPE33Y63DP0006,Toyota,Camry,2024,Limited,74449
2T17AZW13R8RU0007,Toyota,Tacoma,2024,Limited,25902
2T2L6JB2BF4J60008,Lexus,ES,2022,Base,41049
2TP6XY1U3TF7B0009,Lexus,ES,2026,Platinum,27413
2TECBSNBKSJ7H0010,Lexus,NX,2025,LE,54476
2TLHLWGBW12NE0011,Lexus,ES,2025,LE,30678
2THCZ40E9YA380012,Lexus,IS,2021,Limited,47736
2T4MU764UXSFU0013,Lexus,NX,2024,LE,73183
2T1YB8XM8PZTY0014,Lexus,IS,2023,Platinum,69952
2TANFS38S785B0015,Lexus,IS,2021,XLE,38522
2TW07Z4YZ6UWT0016,Lexus,NX,2022,Base,71270
2THMNP7UVGNVR0017,Toyota,RAV4,2023,LE,43809
2TJUCDVJ8GAV70018,Toyota,Prius,2024,Limited,46328
2TT7HE28EDKKW0019,Toyota,Corolla,2021,LE,31762
2TR155W4WDGPP0020,Lexus,IS,2023,Base,34292
2TELA357VCRVV0021,Toyota,Camry,2026,Limited,28664
2TN4HRKUKEDLW0022,Toyota,RAV4,2025,Platinum,42914
2T6W2U985FC4X0023,Lexus,RX,2025,XLE,25695
2TBUCM75UM48F0024,Toyota,Camry,2024,XLE,50761
2TGLY38V2C6FX0025,Lexus,ES,2023,XLE,31597
2TA63DN085DPU0026,Lexus,IS,2025,LE,42876
2THBSLWA3FRH60027,Lexus,UX,2021,LE,56661
2TU377S6K1N9J0028,Lexus,IS,2021,XLE,74638
2T9UAVW8K57ZY0029,Lexus,ES,2025,Platinum,48720
2TNS1R3CX711K0030,Lexus,ES,2024,Base,32273
2T5G6AK3KE7TY0031,Lexus,RX,2025,Limited,66587
2T1X8CESVRF4G0032,Toyota,RAV4,2026,Base,53076
2TWBCXDVZ04KS0033,Toyota,Prius,2025,Limited,61088
2TMF1S8KR6T6T0034,Toyota,Camry,2026,Base,76732
2TLE5ZW4T6WN10035,Lexus,ES,2024,Base,39545
2TZVVB2UAD8VR0036,Lexus,IS,2025,XLE,38352
2TTJGCW5C0JFV0037,Toyota,Tacoma,2023,Limited,35510
2T09ULT7VYH6E0038,Toyota,Camry,2022,LE,68323
2T0F2ATH60T100039,Lexus,IS,2021,LE,54898
2TXRE6W3HJCCW0040,Toyota,Tacoma,2024,Base,30369
2TJ1603K3G83U0041,Toyota,Tacoma,2021,XLE,38238
