application_id,customer_id,dealer_code,vin,product_type,requested_amount,application_date,channel,credit_decision,approved_amount,decision_date
APP000001,C000197,D0028,2T2YEXY8P7HU60103,LOAN,41014,2023-08-10,BRANCH,DECLINED,0,2023-08-13
APP000002,C000082,D0037,2T1D047PDPB4U0017,LEASE,28989,2025-08-20,BRANCH,APPROVED,28989,2025-08-23
APP000003,C000104,D0006,2T53PTMDF4YWL0153,LOAN,32950,2023-06-21,ONLINE,APPROVED,32950,2023-06-28
APP000004,C000201,D0011,2TZ1ANEKXXAK60224,LOAN,60143,2025-09-13,ONLINE,APPROVED,60143,2025-09-19
APP000005,C000105,D0017,2TA5J5GCPN3L10267,LOAN,59167,2023-08-21,ONLINE,DECLINED,0,2023-08-25
APP000006,C000245,D0001,2T0BWW9H8633Z0190,LEASE,52803,2024-01-27,BRANCH,DECLINED,0,2024-02-03
APP000007,C000030,D0060,2T640ML41V4VG0091,LOAN,37008,2025-12-07,DEALER,DECLINED,0,2025-12-09
APP000008,C000027,D0032,2TG59CV3PR61H0320,LOAN,41953,2023-02-03,ONLINE,APPROVED,41953,2023-02-05
APP000009,C000119,D0027,2T2A0R9VUTW3S0331,LOAN,74901,2024-12-19,ONLINE,DECLINED,0,2024-12-20
APP000010,C000096,D0054,2TXYL4S2N2D4J0266,LEASE,66806,2023-02-01,BRANCH,APPROVED,66806,2023-02-04
APP000011,C000041,D0028,2TGJ9H2TLXPFF0119,LOAN,48900,2025-04-05,ONLINE,DECLINED,0,2025-04-06
APP000012,C000182,D0035,2T1BJ6ZMSRWNS0041,LEASE,55507,2026-04-30,ONLINE,APPROVED,55507,2026-05-01
APP000013,C000161,D0002,2TGH6HGKVTMFE0327,LEASE,24422,2024-07-17,ONLINE,APPROVED,24422,2024-07-21
APP000014,C000006,D0027,2T8EP31X5LMWA0038,LOAN,67130,2025-03-11,BRANCH,APPROVED,67130,2025-03-12
APP000015,C000124,D0040,2TALTHNBB9KP00308,LOAN,37726,2023-08-29,DEALER,DECLINED,0,2023-08-30
APP000016,C000187,D0045,2TUU7NFZV68490065,LEASE,20468,2024-11-01,DEALER,APPROVED,20468,2024-11-06
APP000017,C000228,D0046,2T2GWLP8454UX0144,LOAN,70445,2023-12-21,BRANCH,APPROVED,70445,2023-12-28
APP000018,C000096,D0058,2TE5LC9T3VZ2B0324,LOAN,38128,2025-05-29,DEALER,APPROVED,38128,2025-06-04
APP000019,C000063,D0005,2T00KXHAXAYP60111,LEASE,38445,2025-05-29,DEALER,DECLINED,0,2025-06-07
APP000020,C000055,D0034,2TGUE34XXNND80112,LEASE,54439,2023-05-16,DEALER,APPROVED,54439,2023-05-21
APP000021,C000044,D0039,2T1SBVBA6VJ2C0168,LOAN,44673,2025-05-12,ONLINE,APPROVED,44673,2025-05-13
APP000022,C000206,D0027,2TUXZ2FX8D2W60155,LEASE,69385,2023-05-23,BRANCH,APPROVED,69385,2023-05-25
APP000023,C000008,D0015,2TAJGX4RLFN0A0025,LOAN,21733,2025-02-04,ONLINE,DECLINED,0,2025-02-05
APP000024,C000020,D0017,2T1ULJ6HJXK350169,LOAN,34941,2023-08-15,BRANCH,APPROVED,34941,2023-08-24
APP000025,C000126,D0018,2T7RFTVFZSPEE0165,LEASE,58336,2024-05-07,DEALER,APPROVED,58336,2024-05-11
APP000026,C000210,D0025,2T8GYP9XW6K9G0097,LOAN,45680,2023-01-27,DEALER,APPROVED,45680,2023-02-02
APP000027,C000159,D0033,2T2NEU4LWGK6G0104,LOAN,71875,2025-02-28,DEALER,DECLINED,0,2025-03-01
APP000028,C000122,D0043,2T5ZTHFZ4PK290272,LEASE,16873,2025-08-01,BRANCH,APPROVED,16873,2025-08-07
APP000029,C000026,D0004,2T14NVN2MU84G0333,LOAN,39233,2023-04-19,BRANCH,APPROVED,39233,2023-04-23
APP000030,C000230,D0003,2TUSEGUR222GR0295,LEASE,18482,2023-08-16,ONLINE,APPROVED,18482,2023-08-20
APP000031,C000164,D0019,2TVAGM97WSLXE0306,LOAN,37782,2023-12-17,DEALER,DECLINED,0,2023-12-23
APP000032,C000171,D0031,2TYBMTELAZ7A80220,LOAN,15834,2025-07-21,ONLINE,APPROVED,15834,2025-07-23
APP000033,C000175,D0019,2T9LKGGWY58ZT0117,LEASE,52176,2023-04-03,ONLINE,DECLINED,0,2023-04-09
APP000034,C000078,D0046,2T7HUBK3RKZ8B0171,LOAN,38109,2025-07-28,BRANCH,APPROVED,38109,2025-08-04
APP000035,C000050,D0059,2TGU5MTZY23UW0194,LOAN,20850,2025-01-06,DEALER,APPROVED,20850,2025-01-15
APP000036,C000111,D0051,2TZVHA8K6KVLW0233,LEASE,23058,2024-12-04,ONLINE,DECLINED,0,2024-12-06
APP000037,C000056,D0019,2THD8WA4ZADTJ0304,LEASE,17683,2024-08-26,ONLINE,APPROVED,17683,2024-09-04
APP000038,C000183,D0018,2TN4FVRC7ZS140074,LEASE,20636,2026-02-22,DEALER,APPROVED,20636,2026-02-27
APP000039,C000145,D0028,2TXJNTJ3NWWFW0348,LEASE,26357,2024-09-10,BRANCH,APPROVED,26357,2024-09-13
APP000040,C000112,D0007,2T5X9Z6Z463360071,LOAN,69647,2025-02-08,BRANCH,DECLINED,0,2025-02-09
APP000041,C000158,D0059,2TS90JVD2J2A60155,LEASE,24213,2025-05-12,DEALER,APPROVED,24213,2025-05-14
APP000042,C000028,D0022,2TGV7YDH9DPK80305,LOAN,57590,2023-04-23,DEALER,APPROVED,57590,2023-04-26
APP000043,C000240,D0001,2TNHEAKHGSPG70249,LOAN,62129,2024-09-08,BRANCH,APPROVED,62129,2024-09-16
APP000044,C000077,D0026,2TMST5H4KBMKS0248,LOAN,22983,2025-03-11,BRANCH,APPROVED,22983,2025-03-20
APP000045,C000075,D0043,2T80U21G634KB0052,LEASE,34007,2024-02-15,ONLINE,APPROVED,34007,2024-02-17
APP000046,C000078,D0003,2T5CZJ66UALZ90331,LOAN,53046,2026-03-01,ONLINE,APPROVED,53046,2026-03-10
APP000047,C000168,D0010,2TY6JUW2E717M0181,LEASE,26435,2025-03-10,DEALER,APPROVED,26435,2025-03-16
APP000048,C000150,D0040,2TECBLRGG87XR0207,LOAN,37812,2026-04-20,DEALER,DECLINED,0,2026-04-23
APP000049,C000237,D0005,2TTHCE50BMXG50032,LEASE,42528,2025-02-25,DEALER,APPROVED,42528,2025-03-06
APP000050,C000113,D0044,2TRNL4NFBGPCJ0147,LOAN,47184,2024-02-14,ONLINE,APPROVED,47184,2024-02-21
APP000051,C000088,D0012,2T8NP79ZZJE540350,LEASE,19716,2026-03-09,DEALER,APPROVED,19716,2026-03-11
APP000052,C000026,D0008,2TRDYBRVT1ZEL0256,LEASE,34544,2023-09-18,DEALER,DECLINED,0,2023-09-27
APP000053,C000239,D0040,2TW2DH7TBCY3T0257,LOAN,48931,2026-03-24,ONLINE,APPROVED,48931,2026-03-25
APP000054,C000188,D0022,2TDS8ECZE3F7J0340,LEASE,68527,2023-10-13,BRANCH,APPROVED,68527,2023-10-14
APP000055,C000058,D0042,2T47WRBDBN1B70180,LOAN,48266,2023-08-02,ONLINE,APPROVED,48266,2023-08-09
APP000056,C000141,D0009,2T5H0ZNY4DSRF0060,LOAN,42972,2023-09-14,DEALER,APPROVED,42972,2023-09-21
APP000057,C000004,D0056,2TDEDJ5MVCXZS0128,LEASE,67544,2026-01-03,DEALER,APPROVED,67544,2026-01-10
