contract_number,status_date,contract_status,delinquency_bucket,outstanding_balance
CTR000001,2025-08-30,ACTIVE,CURRENT,28989.0
CTR000001,2025-09-01,ACTIVE,CURRENT,28505.85
CTR000001,2025-10-01,ACTIVE,CURRENT,28022.7
CTR000001,2025-11-01,ACTIVE,CURRENT,27539.55
CTR000001,2025-12-01,ACTIVE,CURRENT,27056.4
CTR000001,2026-01-01,ACTIVE,CURRENT,26573.25
CTR000001,2026-02-01,ACTIVE,CURRENT,26090.1
CTR000001,2026-03-01,ACTIVE,CURRENT,25606.95
CTR000001,2026-04-01,ACTIVE,CURRENT,25123.8
CTR000001,2026-05-01,ACTIVE,CURRENT,24640.65
CTR000002,2023-06-24,ACTIVE,CURRENT,32950.0
CTR000002,2023-07-01,ACTIVE,CURRENT,32034.72
CTR000002,2023-08-01,ACTIVE,CURRENT,31119.44
CTR000002,2023-09-01,ACTIVE,CURRENT,30204.17
CTR000002,2023-10-01,ACTIVE,CURRENT,29288.89
CTR000002,2023-11-01,ACTIVE,CURRENT,28373.61
CTR000002,2023-12-01,ACTIVE,CURRENT,27458.33
CTR000002,2024-01-01,ACTIVE,CURRENT,26543.06
CTR000002,2024-02-01,ACTIVE,CURRENT,25627.78
CTR000002,2024-03-01,ACTIVE,CURRENT,24712.5
CTR000002,2024-04-01,ACTIVE,CURRENT,23797.22
CTR000002,2024-05-01,ACTIVE,CURRENT,22881.94
CTR000002,2024-06-01,ACTIVE,CURRENT,21966.67
CTR000002,2024-07-01,ACTIVE,CURRENT,21051.39
CTR000002,2024-08-01,ACTIVE,CURRENT,20136.11
CTR000002,2024-09-01,ACTIVE,CURRENT,19220.83
CTR000002,2024-10-01,ACTIVE,CURRENT,18305.56
CTR000002,2024-11-01,DELINQUENT,31-60,17390.28
CTR000002,2024-12-01,ACTIVE,CURRENT,16475.0
CTR000002,2025-01-01,ACTIVE,CURRENT,15559.72
CTR000002,2025-02-01,ACTIVE,CURRENT,14644.44
CTR000002,2025-03-01,ACTIVE,CURRENT,13729.17
CTR000002,2025-04-01,DELINQUENT,1-30,12813.89
CTR000002,2025-05-01,ACTIVE,CURRENT,11898.61
CTR000003,2025-09-19,ACTIVE,CURRENT,60143.0
CTR000003,2025-10-01,ACTIVE,CURRENT,58890.02
CTR000003,2025-11-01,ACTIVE,CURRENT,57637.04
CTR000003,2025-12-01,DELINQUENT,61-90,56384.06
CTR000003,2026-01-01,ACTIVE,CURRENT,55131.08
CTR000003,2026-02-01,ACTIVE,CURRENT,53878.1
CTR000003,2026-03-01,ACTIVE,CURRENT,52625.13
CTR000003,2026-04-01,ACTIVE,CURRENT,51372.15
CTR000003,2026-05-01,ACTIVE,CURRENT,50119.17
CTR000004,2023-02-16,ACTIVE,CURRENT,41953.0
CTR000004,2023-03-01,ACTIVE,CURRENT,40787.64
CTR000004,2023-04-01,ACTIVE,CURRENT,39622.28
