contract_number,application_id,customer_id,vin,dealer_code,contract_type,apr,term_months,amount_financed,residual_value,start_date,maturity_date
CTR000001,APP000002,C000082,2T1D047PDPB4U0017,D0037,LEASE,7.21,60,28989,15143.62,2025-08-30,2030-08-04
CTR000002,APP000003,C000104,2T53PTMDF4YWL0153,D0006,LOAN,7.46,36,32950,0,2023-06-24,2026-06-08
CTR000003,APP000004,C000201,2TZ1ANEKXXAK60224,D0011,LOAN,4.77,48,60143,0,2025-09-19,2029-08-29
CTR000004,APP000008,C000027,2TG59CV3PR61H0320,D0032,LOAN,8.28,36,41953,0,2023-02-16,2026-01-31
CTR000005,APP000010,C000096,2TXYL4S2N2D4J0266,D0054,LEASE,6.23,48,66806,24669.48,2023-02-05,2027-01-15
CTR000006,APP000012,C000182,2T1BJ6ZMSRWNS0041,D0035,LEASE,4.0,60,55507,30490.24,2026-05-17,2031-04-21
CTR000007,APP000013,C000161,2TGH6HGKVTMFE0327,D0002,LEASE,4.1,72,24422,12435.01,2024-08-02,2030-07-02
CTR000008,APP000014,C000006,2T8EP31X5LMWA0038,D0027,LOAN,9.85,48,67130,0,2025-03-22,2029-03-01
CTR000009,APP000016,C000187,2TUU7NFZV68490065,D0045,LEASE,4.13,36,20468,10045.84,2024-11-08,2027-10-24
CTR000010,APP000017,C000228,2T2GWLP8454UX0144,D0046,LOAN,3.32,48,70445,0,2023-12-26,2027-12-05
CTR000011,APP000018,C000096,2TE5LC9T3VZ2B0324,D0058,LOAN,6.7,60,38128,0,2025-06-11,2030-05-16
CTR000012,APP000020,C000055,2TGUE34XXNND80112,D0034,LEASE,4.33,60,54439,19273.22,2023-05-26,2028-04-29
CTR000013,APP000021,C000044,2T1SBVBA6VJ2C0168,D0039,LOAN,9.08,72,44673,0,2025-05-15,2031-04-14
CTR000014,APP000022,C000206,2TUXZ2FX8D2W60155,D0027,LEASE,3.55,72,69385,37013.04,2023-05-28,2029-04-26
CTR000015,APP000024,C000020,2T1ULJ6HJXK350169,D0017,LOAN,4.56,60,34941,0,2023-08-27,2028-07-31
CTR000016,APP000025,C000126,2T7RFTVFZSPEE0165,D0018,LEASE,4.19,48,58336,28881.21,2024-05-13,2028-04-22
CTR000017,APP000026,C000210,2T8GYP9XW6K9G0097,D0025,LOAN,8.55,48,45680,0,2023-02-05,2027-01-15
CTR000018,APP000028,C000122,2T5ZTHFZ4PK290272,D0043,LEASE,7.98,72,16873,8280.28,2025-08-08,2031-07-08
CTR000019,APP000029,C000026,2T14NVN2MU84G0333,D0004,LOAN,9.58,36,39233,0,2023-04-26,2026-04-10
CTR000020,APP000030,C000230,2TUSEGUR222GR0295,D0003,LEASE,6.54,48,18482,10043.48,2023-08-27,2027-08-06
CTR000021,APP000032,C000171,2TYBMTELAZ7A80220,D0031,LOAN,9.77,48,15834,0,2025-07-26,2029-07-05
CTR000022,APP000034,C000078,2T7HUBK3RKZ8B0171,D0046,LOAN,4.99,60,38109,0,2025-08-04,2030-07-09
