payment_id,contract_number,payment_date,payment_amount,payment_method
PMT0000001,CTR000001,2025-09-01,486.05,CHEQUE
PMT0000002,CTR000001,2025-09-01,486.05,PRE_AUTHORIZED
PMT0000003,CTR000001,2025-10-02,486.05,CHEQUE
PMT0000004,CTR000001,2025-11-02,486.05,CHEQUE
PMT0000005,CTR000001,2025-12-06,486.05,CHEQUE
PMT0000006,CTR000001,2026-01-06,486.05,PRE_AUTHORIZED
PMT0000007,CTR000001,2026-02-01,486.05,PRE_AUTHORIZED
PMT0000008,CTR000001,2026-03-06,486.05,PRE_AUTHORIZED
PMT0000009,CTR000001,2026-04-06,486.05,ONLINE_BANKING
PMT0000010,CTR000001,2026-05-02,486.05,ONLINE_BANKING
PMT0000011,CTR000002,2023-06-29,920.97,PRE_AUTHORIZED
PMT0000012,CTR000002,2023-07-03,920.97,PRE_AUTHORIZED
PMT0000013,CTR000002,2023-08-02,920.97,CHEQUE
PMT0000014,CTR000002,2023-09-01,920.97,ONLINE_BANKING
PMT0000015,CTR000002,2023-10-04,920.97,ONLINE_BANKING
PMT0000016,CTR000002,2023-11-06,920.97,ONLINE_BANKING
PMT0000017,CTR000002,2023-12-02,920.97,CHEQUE
PMT0000018,CTR000002,2024-01-04,920.97,ONLINE_BANKING
PMT0000019,CTR000002,2024-02-06,920.97,CHEQUE
PMT0000020,CTR000002,2024-03-04,920.97,ONLINE_BANKING
PMT0000021,CTR000002,2024-04-03,920.97,PRE_AUTHORIZED
PMT0000022,CTR000002,2024-05-02,920.97,PRE_AUTHORIZED
PMT0000023,CTR000002,2024-06-01,920.97,CHEQUE
PMT0000024,CTR000002,2024-07-03,920.97,PRE_AUTHORIZED
PMT0000025,CTR000002,2024-08-03,920.97,PRE_AUTHORIZED
PMT0000026,CTR000002,2024-09-02,920.97,ONLINE_BANKING
PMT0000027,CTR000002,2024-10-04,920.97,CHEQUE
PMT0000028,CTR000002,2024-11-03,920.97,ONLINE_BANKING
PMT0000029,CTR000002,2024-12-04,920.97,PRE_AUTHORIZED
PMT0000030,CTR000002,2025-01-03,920.97,ONLINE_BANKING
PMT0000031,CTR000002,2025-02-03,920.97,PRE_AUTHORIZED
PMT0000032,CTR000002,2025-03-04,920.97,PRE_AUTHORIZED
PMT0000033,CTR000002,2025-04-06,920.97,ONLINE_BANKING
PMT0000034,CTR000002,2025-05-05,920.97,CHEQUE
PMT0000035,CTR000003,2025-09-21,1257.96,CHEQUE
PMT0000036,CTR000003,2025-10-06,1257.96,CHEQUE
PMT0000037,CTR000003,2025-11-06,1257.96,ONLINE_BANKING
PMT0000038,CTR000003,2025-12-01,1257.96,PRE_AUTHORIZED
PMT0000039,CTR000003,2026-01-03,1257.96,PRE_AUTHORIZED
PMT0000040,CTR000003,2026-02-06,1257.96,CHEQUE
PMT0000041,CTR000003,2026-03-05,1257.96,CHEQUE
PMT0000042,CTR000003,2026-04-06,1257.96,ONLINE_BANKING
PMT0000043,CTR000003,2026-05-01,1257.96,PRE_AUTHORIZED
PMT0000044,CTR000004,2023-02-19,1173.4,CHEQUE
PMT0000045,CTR000004,2023-03-04,1173.4,PRE_AUTHORIZED
PMT0000046,CTR000004,2023-04-06,1173.4,ONLINE_BANKING
PMT0000047,CTR000004,2023-05-04,1173.4,ONLINE_BANKING
PMT0000048,CTR000004,2023-06-03,1173.4,CHEQUE
PMT0000049,CTR000004,2023-07-04,1173.4,CHEQUE
PMT0000050,CTR000004,2023-08-05,1173.4,CHEQUE
PMT0000051,CTR000004,2023-09-01,1173.4,ONLINE_BANKING
PMT0000052,CTR000004,2023-10-02,1173.4,PRE_AUTHORIZED
PMT0000053,CTR000004,2023-11-03,1173.4,ONLINE_BANKING
PMT0000054,CTR000004,2023-12-02,1173.4,CHEQUE
